,pfy,mkval,bm_l_cut,f_l_cut,bm_s_cut,f_s_cut,return,benchmark_ret,cum_return,cum_return_snp
19,2019-01-01,0.3,0.55,5,0.05,0,-0.17826050972515822,1.2232908264918314,3.916690811430578,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.05,1,-0.17826050972515822,1.2232908264918314,3.9736474565490516,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.05,2,-0.18085130795377793,1.2232908264918314,6.756365711299506,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.05,3,-0.17885965377845217,1.2232908264918314,6.675378994712014,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.05,4,-0.16742579683485298,1.2232908264918314,6.379991736032562,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.1,0,-0.17826050972515822,1.2232908264918314,3.916690811430578,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.1,1,-0.17826050972515822,1.2232908264918314,3.972935104673872,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.1,2,-0.18120868287400557,1.2232908264918314,7.256234036415696,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.1,3,-0.17353644043044164,1.2232908264918314,7.303969758761772,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.1,4,-0.16359934929274958,1.2232908264918314,6.713200382745802,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.15000000000000002,0,-0.17826050972515822,1.2232908264918314,3.916690811430578,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.15000000000000002,1,-0.17826050972515822,1.2232908264918314,3.9712719242071968,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.15000000000000002,2,-0.17695597591136608,1.2232908264918314,7.723684535996465,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.15000000000000002,3,-0.17172380768330772,1.2232908264918314,7.717153024909807,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.15000000000000002,4,-0.1587579700445766,1.2232908264918314,6.969794886987391,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.2,0,-0.17826050972515822,1.2232908264918314,3.916690811430578,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.2,1,-0.17826050972515822,1.2232908264918314,3.9712441315531315,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.2,2,-0.1738444975306695,1.2232908264918314,7.717960556708395,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.2,3,-0.16523624017580718,1.2232908264918314,7.7815016869169575,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.2,4,-0.15239726271580376,1.2232908264918314,6.7341379590086845,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.25,0,-0.17826050972515822,1.2232908264918314,3.916690811430578,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.25,1,-0.17826050972515822,1.2232908264918314,3.968682427391732,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.25,2,-0.1738444975306695,1.2232908264918314,7.3890880560014445,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.25,3,-0.16351101080312266,1.2232908264918314,7.248582735098708,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.25,4,-0.1510559042139637,1.2232908264918314,6.173103845219346,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.3,0,-0.17826050972515822,1.2232908264918314,3.916690811430578,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.3,1,-0.17826050972515822,1.2232908264918314,3.9741936922896777,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.3,2,-0.17386346980883371,1.2232908264918314,7.055171829813043,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.3,3,-0.16489362675337152,1.2232908264918314,6.771470597747204,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.3,4,-0.15406818429968006,1.2232908264918314,5.68498796304278,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.35000000000000003,0,-0.17826050972515822,1.2232908264918314,3.916690811430578,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.35000000000000003,1,-0.17826050972515822,1.2232908264918314,3.964085552161073,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.35000000000000003,2,-0.1714038706640051,1.2232908264918314,6.680946776435381,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.35000000000000003,3,-0.15849281454997702,1.2232908264918314,6.347818238280702,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.35000000000000003,4,-0.14550655212547461,1.2232908264918314,5.275527778744061,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.4,0,-0.17826050972515822,1.2232908264918314,3.916690811430578,6.088057913082033
19,2019-01-01,0.3,0.55,5,0.4,1,-0.17826050972515822,1.2232908264918314,3.9550813284009214,6.088057913082033
